iter	Passed	Remaining
243	71196	658276
244	71451	657648
245	71741	657340
246	72031	657036
247	72352	657009
248	72625	656545
249	72902	656123
250	73186	655759
251	73450	655227
252	73721	654755
253	73984	654207
254	74269	653858
255	74543	653420
256	74826	653058
257	75120	652794
258	75381	652238
259	75635	651626
260	75890	651030
261	76137	650367
262	76396	649802
263	76701	649638
264	76951	649009
265	77224	648565
266	77487	648053
267	77701	647127
268	77971	646668
269	78175	645672
270	78445	645224
271	78679	644479
272	78929	643865
273	79261	643928
274	79514	643342
275	79776	642837
276	80025	642227
277	80265	641546
278	80498	640817
279	80721	640006
280	80977	639462
281	81268	639198
282	81523	638651
283	81770	638041
284	82019	637453
285	82275	636915
286	82550	636530
287	82824	636141
288	83084	635638
289	83349	635181
290	83602	634632
291	83850	634051
292	84108	633543
293	84369	633056
294	84599	632345
295	84876	631982
296	85126	631424
297	85409	631111
298	85659	630557
299	85945	630266
300	86203	629769
301	86478	629401
302	86774	629189
303	87037	628731
304	87340	628565
305	87616	628205
306	87861	627621
307	88111	627079
308	88414	626910
309	88711	626701
310	89028	626634
311	89341	626534
312	89631	626276
313	89868	625643
314	90133	625211
315	90397	624775
316	90657	624308
317	90953	624091
318	91225	623708
319	91470	623145
320	91705	622510
321	91945	621919
322	92197	621407
323	92494	621195
324	92757	620762
325	93008	620244
326	93283	619894
327	93569	619611
328	93875	619465
329	94166	619218
330	94430	618790
331	94712	618481
332	95012	618292
333	95279	617890
334	95581	617714
335	95860	617389
336	96198	617440
337	96432	616825
338	96683	616319
339	96943	615877
340	97255	615762
341	97512	615296
342	97787	614950
343	98053	614542
344	98288	613947
345	98571	613651
346	98808	613065
347	99050	612520
348	99320	612147
349	99614	611914
350	99883	611535
351	100123	610982
352	100356	610381
353	100610	609912
354	100885	609574
355	101164	609258
356	101408	608736
357	101630	608081
358	101873	607551
359	102130	607110
360	102418	606849
361	102679	606430
362	102892	605732
363	103100	605007
364	103395	604790
365	103647	604330
366	103898	603854
367	104164	603473
368	104428	603082
369	104731	602915
370	105038	602766
371	105300	602362
372	105581	602071
373	105853	601724
374	106102	601247
375	106353	600785
376	106608	600345
377	106865	599919
378	107088	599299
379	107328	598781
380	107609	598487
381	107855	598007
382	108123	597643
383	108392	597286
384	108661	596929
385	108921	596527
386	109190	596171
387	109469	595876
388	109722	595437
389	109964	594937
390	110259	594724
391	110531	594390
392	110834	594219
393	111083	593760
394	111374	593527
395	111622	593065
396	111878	592647
397	112122	592163
