year,course,enrolment_F,enrolment_MF,graduates_F,graduates_MF,intake_F,intake_MF,intake_rate_F,intake_rate_MF,intake_men,enrolment_men,graduates_men,intake_rate_men
2009,Services,160,263,36,49,40.0,61.0,25.0,23.193916349809886,21.0,103,13,20.388349514563107
2010,Accountancy,2159,3645,553,933,689.0,1169.0,31.91292264937471,32.07133058984911,480.0,1486,380,32.30148048452221
2010,"Architecture, Building & Real Estate",1117,1786,173,263,280.0,426.0,25.06714413607878,23.852183650615903,146.0,669,90,21.823617339312406
2010,Business & Administration,3287,5763,856,1514,901.0,1607.0,27.41101308183754,27.884782231476663,706.0,2476,658,28.513731825525042
2010,Dentistry,108,184,25,41,31.0,48.0,28.703703703703702,26.08695652173913,17.0,76,16,22.36842105263158
2010,Education,0,0,0,0,0.0,0.0,,,0.0,0,0,
2010,Engineering Sciences,4498,15387,946,3786,1144.0,4080.0,25.433526011560694,26.515890037044258,2936.0,10889,2840,26.962990173569658
2010,Fine & Applied Arts,607,1080,121,205,186.0,345.0,30.642504118616145,31.944444444444443,159.0,473,84,33.61522198731501
2010,Health Sciences,783,1064,196,235,189.0,276.0,24.137931034482758,25.93984962406015,87.0,281,39,30.96085409252669
2010,Humanities & Social Sciences,7424,10743,1645,2381,1807.0,2691.0,24.33997844827586,25.04886903099693,884.0,3319,736,26.634528472431455
2010,Information Technology,1068,3355,162,631,276.0,939.0,25.84269662921348,27.98807749627422,663.0,2287,469,28.989943156974203
2010,Law,783,1423,89,227,175.0,350.0,22.349936143039592,24.595924104005622,175.0,640,138,27.34375
2010,Mass Communication,490,675,147,177,122.0,164.0,24.897959183673468,24.296296296296298,42.0,185,30,22.7027027027027
2010,Medicine,620,1305,94,228,121.0,260.0,19.516129032258064,19.92337164750958,139.0,685,134,20.291970802919707
2010,"Natural, Physical & Mathematical Sciences",4949,8361,1172,1766,1297.0,2232.0,26.20731460901192,26.695371367061355,935.0,3412,594,27.403282532239157
2010,Services,363,524,35,64,236.0,322.0,65.0137741046832,61.45038167938932,86.0,161,29,53.41614906832298
2011,Accountancy,2244,3871,507,839,618.0,1100.0,27.540106951871657,28.416429863084474,482.0,1627,332,29.625076828518747
2011,"Architecture, Building & Real Estate",1163,1857,247,368,315.0,475.0,27.08512467755804,25.578890683898763,160.0,694,121,23.054755043227665
2011,Business & Administration,3237,5780,944,1577,910.0,1637.0,28.11244979919679,28.32179930795848,727.0,2543,633,28.588281557215886
2011,Dentistry,111,190,26,42,29.0,48.0,26.126126126126128,25.263157894736842,19.0,79,16,24.050632911392405
