year,institution,enrolment,intake,intake_rate
2023,nanyang_polytechnic,12758.0,4241.0,33.241887443172914
2023,ngee_ann_polytechnic,12397.0,4229.0,34.113091877067035
2023,nie,1394.0,1204.0,86.37015781922526
2023,ntu,24117.0,6448.0,26.73632707218974
2023,nus,30467.0,7470.0,24.518331309285458
2023,republic_polytechnic,11587.0,3902.0,33.675671010615346
2023,singapore_polytechnic,12590.0,4385.0,34.82922954725973
2023,sit,10380.0,3328.0,32.0616570327553
2023,smu,10129.0,2572.0,25.392437555533615
2023,suss,3998.0,1011.0,25.287643821910955
2023,sutd,1915.0,541.0,28.25065274151436
2023,temasek_polytechnic,12462.0,4272.0,34.28021184400578
